forcesRadialDistribution
(
//(Uref[m/s], Uinf[m/s], r[m], Udi(r)[m/s], fn(r)[(N/m^2)/(kg/m^3)], ft(r)[(N/m^2)/(kg/m^3)])
(8 7 13.1185 5.90884 10.7759 5.94889)
(8 7 17.109 5.41132 20.38604 8.62928)
(8 7 21.0995 4.97792 25.07007 8.60496)
(8 7 25.09 4.70621 25.73674 7.42879)
(8 7 29.0806 4.55824 25.7545 6.41382)
(8 7 33.0711 4.4879 25.75317 5.6396)
(8 7 37.0616 4.45938 25.74872 5.0315)
(8 7 41.0521 4.43419 25.7348 4.53995)
(8 7 45.0426 4.4634 25.68576 4.12985)
(8 7 49.0332 4.52985 25.5127 3.76818)
(8 7 53.0237 4.73065 24.84992 3.39407)
(8 7 57.0142 5.10213 22.47478 2.85482)
(8 7 61.0047 5.63343 14.90253 1.76914)
(8 8 0.0 8.09113 0.0 0.0)
(8 8 5.13742 7.80609 0.33366 0.46685)
(8 8 9.12794 7.40006 3.14255 2.47475)
(8 8 13.1185 7.02628 11.02119 6.03901)
(8 8 17.109 6.60187 20.84962 8.75982)
(8 8 21.0995 6.23502 25.63939 8.73489)
(8 8 25.09 6.0139 26.31968 7.54052)
(8 8 29.0806 5.90123 26.33423 6.50938)
(8 8 33.0711 5.85594 26.32406 5.72172)
(8 8 37.0616 5.84273 26.29829 5.10064)
(8 8 41.0521 5.83266 26.23474 4.5937)
(8 8 45.0426 5.87216 26.06821 4.16015)
(8 8 49.0332 5.9496 25.63593 3.75821)
(8 8 53.0237 6.14103 24.47671 3.31822)
(8 8 57.0142 6.47516 21.48738 2.70908)
(8 8 61.0047 6.927 13.88165 1.63568)
(8 9 0.0 9.03968 0.0 0.0)
(8 9 5.13742 8.79474 0.34049 0.47338)
(8 9 9.12794 8.44639 3.20691 2.50937)
(8 9 13.1185 8.12521 11.24661 6.12337)
(8 9 17.109 7.76018 21.27489 8.88168)
(8 9 21.0995 7.44631 26.15976 8.8555)
(8 9 25.09 7.2612 26.84881 7.6432)
(8 9 29.0806 7.17131 26.85337 6.5955)
(8 9 33.0711 7.13959 26.82224 5.79293)
(8 9 37.0616 7.13603 26.75453 5.15614)
(8 9 41.0521 7.13804 26.61031 4.62984)
(8 9 45.0426 7.18532 26.29229 4.16923)
(8 9 49.0332 7.2692 25.59918 3.72896)
(8 9 53.0237 7.44879 24.06487 3.24164)
(8 9 57.0142 7.74634 20.73096 2.59709)
(8 9 61.0047 8.13138 13.18764 1.54403)
(8 10 0.0 9.99769 0.0 0.0)
(8 10 5.13742 9.78531 0.34691 0.47962)
(8 10 9.12794 9.48423 3.26737 2.54241)
(8 10 13.1185 9.20586 11.45821 6.20376)
(8 10 17.109 8.88903 21.6728 8.99729)
(8 10 21.0995 8.61744 26.64352 8.96892)
(8 10 25.09 8.4593 27.33523 7.73825)
(8 10 29.0806 8.38563 27.32172 6.67307)
(8 10 33.0711 8.36285 27.25756 5.85409)
(8 10 37.0616 8.36626 27.13191 5.19968)
(8 10 41.0521 8.37759 26.89003 4.65239)
(8 10 45.0426 8.42998 26.41473 4.16527)
(8 10 49.0332 8.5168 25.4909 3.69246)
(8 10 53.0237 8.68411 23.67784 3.1717)
(8 10 57.0142 8.94921 20.13155 2.50793)
(8 10 61.0047 9.27979 12.67005 1.47515)
(9 6 0.0 5.9487 0.0 0.0)
(9 6 5.13742 5.48229 0.39515 0.56583)
(9 6 9.12794 4.83095 3.72171 2.99944)
(9 6 13.1185 4.25334 13.0525 7.3195)
(9 6 17.109 3.63614 24.693 10.6175)
(9 6 21.0995 3.15484 30.3666 10.5876)
(9 6 25.09 2.84508 31.1743 9.14045)
(9 6 29.0806 2.65109 31.1964 7.89175)
(9 6 33.0711 2.50578 31.1964 6.9395)
(9 6 37.0616 2.46479 31.1964 6.19231)
(9 6 41.0521 2.45842 31.1964 5.59038)
(9 6 45.0426 2.50945 31.1964 5.0951)
(9 6 49.0332 2.5765 31.19631 4.68042)
(9 6 53.0237 2.76012 31.18696 4.32688)
(9 6 57.0142 3.09772 30.75708 3.96857)
(9 6 61.0047 3.6994 23.48115 2.83157)
(9 7 0.0 7.26095 0.0 0.0)
(9 7 5.13742 6.83008 0.40484 0.57462)
(9 7 9.12794 6.21953 3.81302 3.04605)
(9 7 13.1185 5.6597 13.3727 7.43323)
(9 7 17.109 5.03187 25.2988 10.7824)
